Company,Date of Tweet,Number of Retweets,Number of Favorites,Number of Followers,Tweet
Tandem,Sun Sep 11 15:15:25 +0000 2016,2,499,4604,
Tandem,Sat Sep 10 14:15:17 +0000 2016,1,499,4604,
Tandem,Fri Sep 09 22:25:04 +0000 2016,0,499,4604,
Tandem,Fri Sep 09 22:20:06 +0000 2016,0,499,4604,
Tandem,Fri Sep 09 16:10:11 +0000 2016,0,499,4604,
Tandem,Fri Sep 09 14:02:30 +0000 2016,0,499,4604,
Tandem,Thu Sep 08 19:05:16 +0000 2016,0,499,4604,
Tandem,Thu Sep 08 14:01:52 +0000 2016,0,499,4604,
Tandem,Wed Sep 07 14:03:04 +0000 2016,0,499,4604,
Tandem,Tue Sep 06 19:35:26 +0000 2016,0,499,4604,
Tandem,Sat Sep 03 15:01:40 +0000 2016,1,499,4604,
Tandem,Fri Sep 02 17:44:13 +0000 2016,0,499,4604,
Tandem,Fri Sep 02 17:42:31 +0000 2016,0,499,4604,
Tandem,Fri Sep 02 17:42:08 +0000 2016,0,499,4604,
Tandem,Fri Sep 02 16:01:47 +0000 2016,0,499,4604,
Tandem,Wed Aug 31 20:19:03 +0000 2016,0,499,4604,
Tandem,Wed Aug 31 20:18:13 +0000 2016,0,499,4604,
Tandem,Wed Aug 31 15:20:08 +0000 2016,0,499,4604,
Tandem,Wed Aug 31 00:44:38 +0000 2016,0,499,4604,
Tandem,Tue Aug 30 21:00:40 +0000 2016,0,499,4604,
Tandem,Mon Aug 29 21:27:07 +0000 2016,0,499,4604,
Tandem,Mon Aug 29 21:26:06 +0000 2016,0,499,4604,
Tandem,Mon Aug 29 14:01:55 +0000 2016,0,499,4604,
Tandem,Thu Aug 25 19:55:11 +0000 2016,0,499,4604,
Tandem,Thu Aug 25 19:08:29 +0000 2016,0,499,4604,
Tandem,Thu Aug 25 16:00:37 +0000 2016,1,499,4604,
Tandem,Wed Aug 24 20:20:10 +0000 2016,0,499,4604,
Tandem,Wed Aug 24 18:00:50 +0000 2016,1,499,4604,
Tandem,Wed Aug 24 15:30:21 +0000 2016,0,499,4604,
Tandem,Mon Aug 22 15:00:27 +0000 2016,2,499,4604,
Tandem,Fri Aug 19 14:01:54 +0000 2016,0,499,4604,
Tandem,Fri Aug 19 02:00:50 +0000 2016,1,499,4604,
Tandem,Wed Aug 17 18:40:11 +0000 2016,2,499,4604,
Tandem,Tue Aug 16 18:21:11 +0000 2016,0,499,4604,
Tandem,Mon Aug 15 23:16:50 +0000 2016,0,499,4604,
Tandem,Sun Aug 14 18:14:42 +0000 2016,2,499,4604,
Tandem,Sun Aug 14 16:01:21 +0000 2016,1,499,4604,
Tandem,Sat Aug 13 17:35:07 +0000 2016,6,499,4604,
Tandem,Wed Aug 10 14:01:29 +0000 2016,1,499,4604,
Tandem,Tue Aug 09 18:01:35 +0000 2016,0,499,4604,
Tandem,Fri Aug 05 14:01:27 +0000 2016,0,499,4604,
Tandem,Thu Aug 04 20:45:07 +0000 2016,0,499,4604,
Tandem,Thu Aug 04 14:01:58 +0000 2016,0,499,4604,
Tandem,Wed Aug 03 18:00:27 +0000 2016,0,499,4604,
Tandem,Sat Jul 30 21:01:54 +0000 2016,0,499,4604,
Tandem,Sat Jul 30 00:45:12 +0000 2016,0,499,4604,
Tandem,Fri Jul 29 20:29:39 +0000 2016,0,499,4604,
Tandem,Fri Jul 29 19:50:43 +0000 2016,0,499,4604,
Tandem,Fri Jul 29 18:49:12 +0000 2016,1,499,4604,
Tandem,Fri Jul 29 17:52:54 +0000 2016,0,499,4604,
Tandem,Fri Jul 29 16:36:42 +0000 2016,0,499,4604,
Tandem,Fri Jul 29 16:01:42 +0000 2016,2,499,4604,
Tandem,Thu Jul 28 21:27:50 +0000 2016,0,499,4604,
Tandem,Thu Jul 28 20:20:07 +0000 2016,4,499,4604,
Tandem,Thu Jul 28 16:00:32 +0000 2016,0,499,4604,
Tandem,Wed Jul 27 18:01:23 +0000 2016,0,499,4604,
Tandem,Wed Jul 27 14:01:26 +0000 2016,0,499,4604,
Tandem,Wed Jul 27 00:36:29 +0000 2016,0,499,4604,
Tandem,Tue Jul 26 18:02:08 +0000 2016,1,499,4604,
Tandem,Tue Jul 26 12:30:43 +0000 2016,4,499,4604,
Tandem,Mon Jul 25 20:34:14 +0000 2016,0,499,4604,
Tandem,Mon Jul 25 20:33:22 +0000 2016,0,499,4604,
Tandem,Mon Jul 25 14:02:02 +0000 2016,0,499,4604,
Tandem,Sat Jul 23 00:13:26 +0000 2016,0,499,4604,
Tandem,Sat Jul 23 00:09:42 +0000 2016,0,499,4604,
Tandem,Sat Jul 23 00:08:58 +0000 2016,0,499,4604,
Tandem,Sat Jul 23 00:04:51 +0000 2016,0,499,4604,
Tandem,Sat Jul 23 00:04:21 +0000 2016,0,499,4604,
