Company,Date of Tweet,Number of Retweets,Number of Favorites,Number of Followers,Tweet
OneTouch,Thu Jul 07 22:20:01 +0000 2016,2,99,9872,
OneTouch,Thu Jul 07 21:02:51 +0000 2016,0,99,9872,
OneTouch,Thu Jul 07 18:54:05 +0000 2016,0,99,9872,
OneTouch,Thu Jul 07 18:45:03 +0000 2016,0,99,9872,
OneTouch,Wed Jul 06 23:30:05 +0000 2016,1,99,9872,
OneTouch,Wed Jul 06 22:00:04 +0000 2016,1,99,9872,
OneTouch,Wed Jul 06 21:00:05 +0000 2016,2,99,9872,
OneTouch,Wed Jul 06 18:13:48 +0000 2016,2,99,9872,
OneTouch,Wed Jul 06 14:00:09 +0000 2016,0,99,9872,
OneTouch,Tue Jul 05 21:55:42 +0000 2016,0,99,9872,
OneTouch,Tue Jul 05 12:30:08 +0000 2016,0,99,9872,
OneTouch,Mon Jul 04 12:06:03 +0000 2016,0,99,9872,
OneTouch,Sun Jul 03 17:16:06 +0000 2016,1,99,9872,
OneTouch,Thu Jun 30 17:22:40 +0000 2016,0,99,9872,
OneTouch,Thu Jun 30 17:17:14 +0000 2016,0,99,9872,
OneTouch,Wed Jun 29 18:35:46 +0000 2016,0,99,9872,
OneTouch,Mon Jun 27 15:25:04 +0000 2016,1,99,9872,
OneTouch,Sun Jun 26 15:39:49 +0000 2016,0,99,9872,
OneTouch,Thu Jun 23 18:03:06 +0000 2016,0,99,9872,
OneTouch,Wed Jun 22 16:51:57 +0000 2016,0,99,9872,
OneTouch,Mon Jun 20 16:14:01 +0000 2016,0,99,9872,
OneTouch,Mon Jun 20 15:22:01 +0000 2016,1,99,9872,
OneTouch,Sun Jun 19 13:27:04 +0000 2016,0,99,9872,
OneTouch,Sat Jun 18 14:06:06 +0000 2016,5,99,9872,
OneTouch,Fri Jun 17 18:07:19 +0000 2016,0,99,9872,
OneTouch,Tue Jun 14 21:03:02 +0000 2016,0,99,9872,
OneTouch,Tue Jun 14 15:23:03 +0000 2016,0,99,9872,
OneTouch,Mon Jun 13 16:37:58 +0000 2016,0,99,9872,
OneTouch,Mon Jun 13 15:01:01 +0000 2016,4,99,9872,
OneTouch,Sun Jun 12 19:02:02 +0000 2016,0,99,9872,
OneTouch,Sun Jun 12 17:56:07 +0000 2016,0,99,9872,
OneTouch,Sun Jun 12 17:30:08 +0000 2016,1,99,9872,
OneTouch,Sat Jun 11 18:05:53 +0000 2016,0,99,9872,
OneTouch,Sat Jun 11 15:27:03 +0000 2016,0,99,9872,
OneTouch,Tue Jun 07 17:44:06 +0000 2016,0,99,9872,
OneTouch,Tue Jun 07 10:02:06 +0000 2016,0,99,9872,
OneTouch,Sun Jun 05 21:02:04 +0000 2016,0,99,9872,
OneTouch,Fri Jun 03 18:01:05 +0000 2016,0,99,9872,
OneTouch,Wed Jun 01 22:16:19 +0000 2016,0,99,9872,
