Company,Date of Tweet,Number of Retweets,Number of Favorites,Number of Followers,Tweet
Omnipod,Tue Aug 09 17:02:20 +0000 2016,4,356,649,
Omnipod,Sun Aug 07 14:01:26 +0000 2016,3,356,649,
Omnipod,Fri Aug 05 14:01:58 +0000 2016,0,356,649,
Omnipod,Thu Jul 28 01:14:13 +0000 2016,1,356,649,
Omnipod,Thu Jul 28 01:11:48 +0000 2016,3,356,649,
Omnipod,Wed Jul 27 17:36:57 +0000 2016,2,356,649,
Omnipod,Wed Jul 27 17:15:52 +0000 2016,0,356,649,
Omnipod,Wed Jul 27 17:12:51 +0000 2016,0,356,649,
Omnipod,Wed Jul 27 16:03:09 +0000 2016,3,356,649,
Omnipod,Mon Jul 25 16:03:02 +0000 2016,2,356,649,
Omnipod,Sat Jul 23 14:11:29 +0000 2016,1,356,649,
Omnipod,Sat Jul 23 13:55:44 +0000 2016,2,356,649,
Omnipod,Sat Jul 23 13:41:26 +0000 2016,0,356,649,
Omnipod,Fri Jul 22 15:50:40 +0000 2016,4,356,649,
Omnipod,Fri Jul 22 14:25:04 +0000 2016,0,356,649,
Omnipod,Wed Jul 20 20:22:35 +0000 2016,1,356,649,
Omnipod,Wed Jul 20 16:03:11 +0000 2016,5,356,649,
Omnipod,Mon Jul 18 13:38:57 +0000 2016,1,356,649,
Omnipod,Fri Jul 15 16:02:19 +0000 2016,2,356,649,
Omnipod,Wed Jul 13 15:02:24 +0000 2016,5,356,649,
Omnipod,Wed Jul 13 14:01:48 +0000 2016,3,356,649,
Omnipod,Fri Jul 08 17:37:54 +0000 2016,2,356,649,
Omnipod,Fri Jul 08 17:19:19 +0000 2016,3,356,649,
Omnipod,Fri Jul 08 17:19:11 +0000 2016,3,356,649,
Omnipod,Fri Jul 08 17:18:09 +0000 2016,1,356,649,
Omnipod,Fri Jul 08 16:27:55 +0000 2016,1,356,649,
Omnipod,Fri Jul 08 16:25:53 +0000 2016,3,356,649,
Omnipod,Fri Jul 08 15:01:59 +0000 2016,6,356,649,
Omnipod,Fri Jul 08 11:20:46 +0000 2016,1,356,649,
Omnipod,Thu Jul 07 20:20:41 +0000 2016,1,356,649,
Omnipod,Thu Jul 07 18:26:05 +0000 2016,5,356,649,
Omnipod,Thu Jul 07 17:11:09 +0000 2016,2,356,649,
Omnipod,Thu Jul 07 15:52:21 +0000 2016,0,356,649,
Omnipod,Thu Jul 07 15:51:15 +0000 2016,5,356,649,
Omnipod,Thu Jul 07 15:51:07 +0000 2016,3,356,649,
Omnipod,Thu Jul 07 15:04:45 +0000 2016,5,356,649,
Omnipod,Thu Jul 07 14:23:49 +0000 2016,2,356,649,
Omnipod,Thu Jul 07 13:55:55 +0000 2016,2,356,649,
Omnipod,Thu Jul 07 12:39:03 +0000 2016,2,356,649,
Omnipod,Thu Jul 07 12:38:14 +0000 2016,2,356,649,
Omnipod,Thu Jul 07 12:38:01 +0000 2016,2,356,649,
Omnipod,Wed Jul 06 23:20:47 +0000 2016,5,356,649,
Omnipod,Wed Jul 06 19:56:41 +0000 2016,1,356,649,
Omnipod,Tue Jul 05 15:06:24 +0000 2016,1,356,649,
Omnipod,Mon Jul 04 13:01:38 +0000 2016,6,356,649,
Omnipod,Thu Jun 30 16:03:19 +0000 2016,7,356,649,
Omnipod,Wed Jun 29 16:03:13 +0000 2016,4,356,649,
Omnipod,Tue Jun 28 13:24:47 +0000 2016,1,356,649,
Omnipod,Mon Jun 27 16:02:55 +0000 2016,2,356,649,
Omnipod,Mon Jun 27 14:52:39 +0000 2016,2,356,649,
Omnipod,Fri Jun 24 16:03:14 +0000 2016,3,356,649,
Omnipod,Thu Jun 23 19:58:14 +0000 2016,0,356,649,
Omnipod,Wed Jun 22 16:03:05 +0000 2016,3,356,649,
Omnipod,Mon Jun 20 16:02:57 +0000 2016,4,356,649,
Omnipod,Mon Jun 20 14:18:36 +0000 2016,1,356,649,
Omnipod,Tue Jun 14 15:13:39 +0000 2016,2,356,649,
Omnipod,Mon Jun 13 14:28:33 +0000 2016,5,356,649,
Omnipod,Sun Jun 12 21:06:10 +0000 2016,4,356,649,
Omnipod,Sun Jun 12 20:39:34 +0000 2016,5,356,649,
Omnipod,Sun Jun 12 20:39:29 +0000 2016,2,356,649,
Omnipod,Sun Jun 12 20:27:07 +0000 2016,1,356,649,
Omnipod,Sun Jun 12 19:44:07 +0000 2016,8,356,649,
Omnipod,Sun Jun 12 19:09:00 +0000 2016,4,356,649,
Omnipod,Sun Jun 12 16:52:10 +0000 2016,8,356,649,
Omnipod,Sun Jun 12 16:44:37 +0000 2016,2,356,649,
Omnipod,Sun Jun 12 16:41:30 +0000 2016,1,356,649,
Omnipod,Sun Jun 12 16:35:35 +0000 2016,3,356,649,
Omnipod,Sun Jun 12 16:35:03 +0000 2016,2,356,649,
Omnipod,Sun Jun 12 16:29:58 +0000 2016,0,356,649,
Omnipod,Sun Jun 12 16:04:44 +0000 2016,5,356,649,
Omnipod,Sat Jun 11 20:40:00 +0000 2016,5,356,649,
Omnipod,Sat Jun 11 20:35:57 +0000 2016,4,356,649,
Omnipod,Sat Jun 11 19:54:04 +0000 2016,8,356,649,
Omnipod,Sat Jun 11 19:54:04 +0000 2016,8,356,649,
Omnipod,Fri Jun 10 13:52:35 +0000 2016,2,356,649,
Omnipod,Fri Jun 10 13:01:53 +0000 2016,6,356,649,
Omnipod,Wed Jun 08 22:20:07 +0000 2016,12,356,649,
Omnipod,Wed Jun 08 16:02:10 +0000 2016,11,356,649,
Omnipod,Mon Jun 06 17:45:14 +0000 2016,8,356,649,
Omnipod,Fri Jun 03 19:06:00 +0000 2016,0,356,649,
Omnipod,Fri Jun 03 17:49:45 +0000 2016,0,356,649,
Omnipod,Fri Jun 03 17:28:59 +0000 2016,5,356,649,
Omnipod,Fri Jun 03 17:27:40 +0000 2016,4,356,649,
Omnipod,Fri Jun 03 17:16:34 +0000 2016,3,356,649,
Omnipod,Fri Jun 03 15:05:34 +0000 2016,2,356,649,
Omnipod,Wed Jun 01 17:02:56 +0000 2016,8,356,649,
Omnipod,Wed Jun 01 13:01:49 +0000 2016,1,356,649,
Omnipod,Tue May 31 15:43:53 +0000 2016,1,356,649,
