Company,Date of Tweet,Number of Retweets,Number of Favorites,Number of Followers,Tweet
Medtronic,Sat Oct 29 16:24:38 +0000 2016,0,58,23562,
Medtronic,Sat Oct 29 16:17:25 +0000 2016,0,58,23562,
Medtronic,Sat Oct 29 16:17:22 +0000 2016,0,58,23562,
Medtronic,Sat Oct 29 16:15:16 +0000 2016,0,58,23562,
Medtronic,Sat Oct 29 16:14:21 +0000 2016,0,58,23562,
Medtronic,Sat Oct 29 16:14:15 +0000 2016,0,58,23562,
Medtronic,Fri Oct 28 22:30:03 +0000 2016,0,58,23562,
Medtronic,Fri Oct 28 22:30:00 +0000 2016,0,58,23562,
Medtronic,Fri Oct 28 18:19:30 +0000 2016,1,58,23562,
Medtronic,Fri Oct 28 15:29:41 +0000 2016,0,58,23562,
Medtronic,Thu Oct 27 20:46:58 +0000 2016,4,58,23562,
Medtronic,Thu Oct 27 16:55:59 +0000 2016,3,58,23562,
Medtronic,Wed Oct 26 20:56:33 +0000 2016,3,58,23562,
Medtronic,Wed Oct 26 20:52:37 +0000 2016,0,58,23562,
Medtronic,Wed Oct 26 18:18:42 +0000 2016,0,58,23562,
Medtronic,Wed Oct 26 17:05:43 +0000 2016,6,58,23562,
Medtronic,Wed Oct 26 17:02:50 +0000 2016,0,58,23562,
Medtronic,Wed Oct 26 17:02:50 +0000 2016,0,58,23562,
Medtronic,Tue Oct 25 22:37:14 +0000 2016,0,58,23562,
Medtronic,Tue Oct 25 21:40:56 +0000 2016,0,58,23562,
Medtronic,Tue Oct 25 17:17:11 +0000 2016,0,58,23562,
Medtronic,Tue Oct 25 17:11:15 +0000 2016,0,58,23562,
Medtronic,Tue Oct 25 17:10:04 +0000 2016,0,58,23562,
Medtronic,Tue Oct 25 16:12:16 +0000 2016,0,58,23562,
Medtronic,Mon Oct 24 23:16:37 +0000 2016,0,58,23562,
Medtronic,Mon Oct 24 23:02:58 +0000 2016,7,58,23562,
Medtronic,Mon Oct 24 22:58:44 +0000 2016,0,58,23562,
Medtronic,Mon Oct 24 22:56:29 +0000 2016,0,58,23562,
Medtronic,Mon Oct 24 21:30:58 +0000 2016,0,58,23562,
Medtronic,Mon Oct 24 18:01:54 +0000 2016,0,58,23562,
Medtronic,Mon Oct 24 15:50:14 +0000 2016,0,58,23562,
Medtronic,Mon Oct 24 15:50:01 +0000 2016,0,58,23562,
Medtronic,Mon Oct 24 14:01:25 +0000 2016,8,58,23562,
Medtronic,Sat Oct 22 15:52:01 +0000 2016,0,58,23562,
Medtronic,Sat Oct 22 15:51:57 +0000 2016,0,58,23562,
Medtronic,Fri Oct 21 23:26:52 +0000 2016,0,58,23562,
Medtronic,Fri Oct 21 16:37:18 +0000 2016,0,58,23562,
Medtronic,Fri Oct 21 16:30:44 +0000 2016,0,58,23562,
Medtronic,Thu Oct 20 22:18:21 +0000 2016,0,58,23562,
Medtronic,Thu Oct 20 21:41:58 +0000 2016,3,58,23562,
Medtronic,Thu Oct 20 20:22:04 +0000 2016,3,58,23562,
Medtronic,Thu Oct 20 17:51:28 +0000 2016,0,58,23562,
Medtronic,Thu Oct 20 17:40:59 +0000 2016,2,58,23562,
Medtronic,Thu Oct 20 17:20:44 +0000 2016,0,58,23562,
Medtronic,Thu Oct 20 17:20:42 +0000 2016,0,58,23562,
Medtronic,Thu Oct 20 17:09:53 +0000 2016,1,58,23562,
Medtronic,Wed Oct 19 22:27:47 +0000 2016,0,58,23562,
Medtronic,Wed Oct 19 22:24:45 +0000 2016,0,58,23562,
Medtronic,Wed Oct 19 22:12:46 +0000 2016,0,58,23562,
Medtronic,Wed Oct 19 22:08:59 +0000 2016,0,58,23562,
Medtronic,Wed Oct 19 22:08:31 +0000 2016,0,58,23562,
Medtronic,Wed Oct 19 21:48:34 +0000 2016,1,58,23562,
Medtronic,Tue Oct 18 20:55:58 +0000 2016,0,58,23562,
Medtronic,Tue Oct 18 19:44:46 +0000 2016,2,58,23562,
Medtronic,Tue Oct 18 16:44:58 +0000 2016,1,58,23562,
Medtronic,Tue Oct 18 15:32:51 +0000 2016,0,58,23562,
Medtronic,Mon Oct 17 22:34:47 +0000 2016,0,58,23562,
Medtronic,Mon Oct 17 21:59:07 +0000 2016,2,58,23562,
Medtronic,Mon Oct 17 17:21:15 +0000 2016,0,58,23562,
Medtronic,Mon Oct 17 17:16:13 +0000 2016,0,58,23562,
Medtronic,Mon Oct 17 17:12:53 +0000 2016,0,58,23562,
Medtronic,Mon Oct 17 15:35:09 +0000 2016,0,58,23562,
Medtronic,Sat Oct 15 18:34:30 +0000 2016,0,58,23562,
Medtronic,Sat Oct 15 15:51:46 +0000 2016,0,58,23562,
Medtronic,Fri Oct 14 22:07:17 +0000 2016,0,58,23562,
Medtronic,Fri Oct 14 17:52:54 +0000 2016,2,58,23562,
Medtronic,Fri Oct 14 16:51:10 +0000 2016,0,58,23562,
Medtronic,Fri Oct 14 16:43:07 +0000 2016,0,58,23562,
Medtronic,Fri Oct 14 16:40:21 +0000 2016,0,58,23562,
Medtronic,Fri Oct 14 16:37:56 +0000 2016,0,58,23562,
Medtronic,Fri Oct 14 16:23:22 +0000 2016,0,58,23562,
Medtronic,Thu Oct 13 21:34:58 +0000 2016,3,58,23562,
Medtronic,Thu Oct 13 20:35:55 +0000 2016,0,58,23562,
Medtronic,Thu Oct 13 20:34:00 +0000 2016,0,58,23562,
Medtronic,Thu Oct 13 18:42:14 +0000 2016,0,58,23562,
Medtronic,Thu Oct 13 18:42:12 +0000 2016,0,58,23562,
Medtronic,Thu Oct 13 18:34:59 +0000 2016,1,58,23562,
Medtronic,Thu Oct 13 17:03:18 +0000 2016,0,58,23562,
Medtronic,Wed Oct 12 22:50:26 +0000 2016,0,58,23562,
